Severity,Council_district,Hit_and_Run,Weather,Rain,Natural_Light,Junction Control,Road_ Classification,Vehicle_Movements,Type_of_Collision,No_of_Vehicles_Involved,No_of Casualties_Injured,Deaths
3,SSPO,2,1,1,1,6,2,1,3,1,3,0
3,KTS,2,1,1,3,6,2,2,2,2,1,0
3,WCH,2,1,1,3,6,2,2,2,2,2,0
3,SSPO,2,1,1,3,6,2,1,1,1,1,0
3,YL,2,1,1,1,6,2,2,2,2,2,0
2,YL,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,2,1,3,6,2,2,2,2,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,CW,2,1,1,1,1,2,2,2,2,1,0
3,CW,2,1,3,3,4,2,4,2,2,1,0
3,ST,2,1,1,1,6,2,5,2,3,1,0
3,TP,2,1,1,3,6,2,1,4,1,1,0
3,YTM,2,1,1,3,6,2,1,2,2,1,0
3,ST,2,1,1,3,4,2,4,2,2,1,0
2,TW,2,1,1,1,6,2,1,1,1,1,0
2,YL,2,1,1,1,6,2,1,4,1,1,0
3,E,2,1,1,3,6,2,3,2,2,1,0
3,ST,2,1,1,3,6,2,1,4,1,2,0
3,YL,2,1,1,1,6,2,2,2,2,2,0
3,TM,2,1,1,1,6,2,3,2,2,1,0
2,CW,2,1,1,1,6,2,1,1,1,1,0
2,YL,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,1,2,1,6,2,1,3,1,1,0
3,TW,2,1,1,3,6,2,2,2,2,2,0
3,S,2,1,1,3,6,2,2,2,2,1,0
3,WCH,2,1,1,1,6,2,2,2,2,1,0
3,YTM,2,1,1,3,3,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,3,6,2,4,2,2,1,0
3,YL,2,1,1,3,6,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,2,2,2,2,0
3,KC,2,1,1,1,1,2,1,1,1,1,0
3,N,2,1,1,1,6,2,1,1,1,1,0
3,E,2,1,1,2,6,2,1,4,1,1,0
3,CW,1,1,1,1,6,2,1,1,1,1,0
2,WTS,2,1,1,1,6,2,1,1,1,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,KT,2,1,1,1,6,2,2,2,2,1,0
2,YL,2,1,1,1,6,2,1,4,1,1,0
3,KTS,2,1,1,1,6,2,1,1,1,1,0
3,TW,2,1,1,3,6,2,1,3,1,1,0
2,TP,2,1,1,1,6,2,1,4,1,1,0
3,I,2,1,1,1,6,2,2,2,2,1,0
3,N,2,1,1,3,6,2,1,4,1,1,0
3,TP,2,2,1,3,6,2,1,4,1,1,0
2,YL,2,1,1,1,6,2,1,1,1,1,0
3,WTS,2,1,1,3,6,2,1,4,1,1,0
3,E,2,1,1,3,6,2,1,4,1,1,0
3,WCH,2,1,1,3,1,2,1,4,1,1,0
3,CW,2,1,1,1,6,2,1,1,1,1,0
3,KC,2,1,1,2,6,2,2,2,2,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,WCH,1,1,1,1,6,2,3,2,2,6,0
3,KT,2,1,1,1,6,2,1,2,2,2,0
3,KTS,2,1,1,1,6,2,1,1,1,1,0
2,WCH,2,1,2,1,3,2,1,1,1,1,0
3,KT,2,1,1,3,6,2,1,4,1,1,0
3,ST,2,2,1,3,6,2,2,2,2,1,0
3,I,2,1,1,1,6,2,1,3,1,1,0
2,SK,2,1,1,3,6,2,1,2,2,1,0
3,TW,2,1,1,1,6,2,2,2,2,1,0
3,YL,2,1,1,1,1,2,1,1,1,1,0
3,TW,2,1,1,1,6,2,2,2,2,2,0
3,SSPO,2,1,2,2,4,2,1,4,1,1,0
3,SSPO,2,1,1,1,1,2,1,4,1,1,0
3,YTM,2,1,1,1,2,2,1,1,1,1,0
3,I,2,1,1,3,6,2,1,3,1,1,0
3,TW,2,1,1,3,6,2,1,4,1,1,0
3,WCH,2,1,1,3,6,2,1,4,1,1,0
3,CW,2,1,1,3,6,2,1,4,1,1,0
3,WCH,2,1,1,1,6,2,1,1,1,1,0
3,TW,2,1,1,1,6,2,1,3,1,1,0
3,TW,2,1,1,3,6,2,2,4,2,3,0
2,ST,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,3,1,2,1,1,1,1,0
2,ST,2,1,1,3,6,2,1,4,1,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,YTM,2,1,1,1,4,2,2,2,2,2,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,CW,2,2,1,3,1,2,1,1,1,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,1,1,2,2,2,2,1,0
2,YL,2,1,1,3,6,2,1,4,1,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
2,S,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,2,2,1,6,2,4,2,2,1,0
3,YTM,2,1,1,1,1,2,1,1,1,1,0
3,CW,2,1,1,1,4,2,3,2,2,1,0
3,CW,2,1,1,1,6,2,1,1,1,1,0
3,CW,2,1,1,1,6,2,1,4,1,1,0
3,E,2,1,1,1,6,2,1,1,1,1,0
2,CW,2,1,1,1,3,2,1,1,1,1,0
3,ST,2,1,1,3,6,2,1,4,1,5,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,1,1,3,6,2,2,2,2,1,0
3,WTS,2,1,2,1,6,2,1,1,1,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,YTM,2,1,1,3,6,2,1,1,1,1,0
3,N,2,1,2,1,6,2,1,4,1,1,0
3,KTS,2,1,1,1,6,2,1,1,1,1,0
3,TM,2,1,1,3,6,2,4,2,2,1,0
2,I,2,1,1,1,1,2,1,3,1,1,0
3,WTS,2,1,2,3,6,2,1,4,1,5,0
3,WTS,2,1,1,1,6,2,1,4,1,1,0
3,CW,2,1,1,1,6,2,1,4,1,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,CW,2,1,1,3,6,2,1,3,1,2,0
3,ST,2,1,1,3,6,2,1,4,1,1,0
3,S,2,1,1,3,6,2,1,4,1,1,0
2,YL,2,2,2,1,6,2,1,4,1,1,0
3,E,2,3,2,3,4,2,1,3,1,1,0
3,TP,2,2,2,1,6,2,2,2,2,3,0
3,YTM,2,1,1,1,4,2,1,4,1,1,0
3,TP,2,1,1,3,6,2,2,2,2,1,0
3,YTM,2,1,1,1,3,2,1,1,1,1,0
3,WCH,2,1,1,1,6,2,1,1,1,1,0
2,E,2,2,2,3,6,2,2,2,2,2,0
3,S,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,3,6,2,1,4,1,1,0
2,TW,2,1,1,3,4,2,4,2,2,2,0
3,CW,2,1,1,3,1,2,1,1,1,1,0
3,KT,2,1,1,3,6,2,1,4,2,1,0
3,TW,2,1,1,1,6,2,2,2,2,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,SSPO,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,1,1,1,4,2,2,2,2,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
3,TW,2,1,1,1,6,2,1,4,1,1,0
2,SK,2,2,1,3,6,2,2,2,2,2,0
3,WTS,2,1,1,1,1,2,1,1,1,1,0
2,SK,2,1,1,1,6,2,1,1,1,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,YL,2,1,1,1,6,2,1,1,1,2,0
3,N,2,1,1,1,6,2,2,2,2,1,0
3,YTM,2,1,1,1,6,2,1,1,1,1,0
3,CW,2,1,1,2,6,2,1,1,1,1,0
3,I,2,1,1,1,6,2,1,4,1,1,0
3,KTS,2,1,1,1,6,2,1,4,1,1,0
3,I,2,1,1,1,6,2,1,4,1,1,0
3,E,2,1,1,1,6,2,1,1,1,2,0
2,N,2,1,1,3,6,2,1,3,1,3,0
3,KT,2,1,1,1,6,2,2,2,2,1,0
3,E,2,1,1,3,6,2,2,2,2,1,0
3,N,2,1,1,1,6,2,5,2,3,2,0
3,YL,1,1,1,1,6,2,1,1,1,1,0
3,KTS,2,1,1,1,6,2,1,4,1,1,0
3,SSPO,2,1,1,1,3,2,4,2,2,1,0
3,ST,2,1,1,1,6,2,5,2,3,3,0
3,ST,2,1,1,3,6,2,1,4,1,1,0
3,KTS,2,1,2,1,6,2,1,4,1,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
2,TP,2,1,1,1,6,2,1,4,1,1,0
3,SK,2,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,1,6,2,2,4,2,1,0
3,YTM,2,1,1,3,4,2,1,4,1,1,0
3,TW,2,1,1,3,6,2,1,4,1,1,0
3,YTM,2,1,1,1,6,2,1,1,1,1,0
3,N,2,1,1,1,6,2,1,4,1,1,0
3,YTM,2,1,2,1,6,2,1,4,1,1,0
3,TM,2,1,1,1,6,2,1,4,1,1,0
3,ST,2,1,1,1,6,2,2,2,2,1,0
3,TP,2,1,1,3,6,2,2,2,2,1,0
3,N,1,1,1,2,6,2,3,4,2,1,0
3,TM,2,1,1,1,6,2,4,2,2,1,0
3,WCH,2,1,1,3,6,2,2,2,2,1,0
3,ST,2,2,2,3,6,2,1,4,1,1,0
3,KTS,2,1,1,3,6,2,1,4,1,1,0
3,WTS,2,1,1,1,2,2,4,2,2,2,0
3,WCH,2,1,1,1,1,2,1,1,1,1,0
3,WCH,2,1,1,3,6,2,3,4,2,1,0
3,E,2,1,1,1,6,2,1,1,1,1,0
3,SSPO,2,1,1,3,6,2,2,4,2,1,0
3,KT,2,1,1,1,6,2,1,4,1,1,0
3,SK,2,1,1,1,6,2,2,2,2,1,0
2,N,2,1,1,1,6,2,2,1,2,1,0
3,TW,2,1,1,1,6,2,2,2,2,1,0
2,KT,2,1,1,1,6,2,1,1,1,1,0
3,TP,2,1,1,3,6,2,2,2,2,1,0
3,SSPO,2,1,1,3,4,2,1,2,2,1,0
3,WTS,2,1,1,1,6,2,1,4,1,1,0
3,ST,2,1,1,1,6,2,1,4,1,1,0
2,TP,2,1,1,1,6,2,1,4,1,1,0
3,WTS,2,1,1,3,6,2,1,4,1,1,0
3,E,2,1,2,3,6,2,5,2,3,4,0
3,WTS,2,1,1,3,6,2,2,2,2,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,YL,2,1,1,1,6,2,2,2,2,1,0
3,SK,2,1,2,1,6,2,2,2,2,1,0
3,WCH,2,1,1,1,6,2,4,2,2,2,0
3,ST,2,1,1,3,6,2,1,4,1,1,0
3,CW,2,1,1,3,6,2,2,2,2,1,0
3,WTS,2,1,1,1,6,2,2,2,2,1,0
3,WTS,2,1,1,1,6,2,2,2,2,1,0
3,ST,2,1,1,3,6,2,1,4,1,1,0
3,ST,2,1,1,1,4,2,2,2,2,2,0
2,N,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,WTS,2,1,1,3,6,2,1,4,1,1,0
1,CW,2,1,1,1,6,2,1,1,1,1,1
3,TM,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,2,2,2,1,0
3,E,2,1,1,1,6,2,1,3,1,1,0
3,CW,2,1,1,1,6,2,2,2,2,1,0
3,YTM,2,1,1,3,1,2,2,2,2,3,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,SSPO,2,1,1,3,1,2,1,1,1,1,0
3,I,2,1,1,1,6,2,1,3,1,1,0
3,WTS,2,1,1,1,6,2,2,2,2,1,0
3,TM,2,1,1,1,6,2,2,2,2,1,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,TM,2,1,1,1,6,2,1,4,1,1,0
3,E,2,1,1,3,4,2,2,2,2,1,0
3,WCH,2,1,1,1,6,2,1,1,1,1,0
3,KC,2,1,1,1,6,2,1,2,3,1,0
2,KC,2,1,1,3,6,2,2,4,2,1,0
3,YTM,2,1,2,1,4,2,2,2,2,1,0
3,I,2,1,1,1,6,2,1,4,1,1,0
2,YL,2,1,1,1,4,2,1,1,1,1,0
3,TW,2,1,2,3,6,2,5,2,3,1,0
3,ST,2,1,1,1,6,2,2,2,3,1,0
3,KC,2,1,1,1,6,2,5,2,4,3,0
3,KTS,2,1,1,3,6,2,1,1,1,1,0
3,YTM,2,1,1,3,4,2,1,1,1,1,0
2,TW,2,1,1,3,6,2,1,4,1,1,0
3,KTS,2,1,1,1,6,2,1,1,1,1,0
3,E,2,3,2,3,4,2,1,4,1,1,0
3,SSPO,2,1,2,3,4,2,1,4,1,1,0
3,N,2,1,2,1,6,2,1,4,1,1,0
3,TM,2,1,2,1,6,2,1,4,1,1,0
3,WCH,2,1,1,1,6,2,2,2,2,1,0
3,CW,2,1,1,3,6,2,1,3,1,1,0
3,E,2,1,1,1,6,2,1,4,1,1,0
3,YL,2,1,1,1,6,2,1,4,1,1,0
3,YTM,2,1,1,1,1,2,1,3,1,1,0
3,KC,2,1,1,3,6,2,2,2,2,1,0
3,KC,2,1,1,3,6,2,1,4,1,1,0
3,E,2,1,1,1,4,2,1,1,1,1,0
3,KC,2,1,1,1,1,2,2,2,2,3,0
3,WTS,2,1,1,1,6,2,1,1,2,1,0
3,YTM,2,1,1,3,6,2,2,2,2,1,0
3,WTS,2,1,1,1,6,2,1,1,1,1,0
3,E,2,1,1,1,6,2,1,4,1,1,0
2,YTM,2,1,1,1,6,2,1,1,1,1,0
2,YL,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,1,1,3,6,2,1,4,1,1,0
2,KC,2,1,1,1,6,2,1,3,1,1,0
2,ST,2,1,1,3,6,2,1,4,1,1,0
3,SSPO,2,1,1,1,1,2,1,1,1,1,0
2,TM,2,1,1,1,6,2,1,4,1,1,0
2,SSPO,2,1,1,1,6,2,2,2,2,1,0
3,SSPO,2,1,1,1,6,2,5,2,3,1,0
2,YL,2,1,1,3,6,2,6,2,5,4,0
3,TM,2,1,1,1,6,2,2,2,2,1,0
3,E,1,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,1,4,2,1,1,1,1,0
3,E,2,1,1,3,6,2,2,2,2,1,0
2,WTS,2,1,1,3,6,2,1,3,1,1,0
2,TP,2,1,1,1,6,2,1,4,1,1,0
3,WTS,2,1,2,1,6,2,2,2,2,1,0
3,SSPO,2,1,1,1,6,2,1,1,1,1,0
3,TM,2,1,1,2,6,2,1,1,1,1,0
3,YL,1,1,1,3,6,2,5,2,3,1,0
3,I,2,1,1,1,6,2,2,2,2,1,0
3,ST,2,1,1,3,1,2,1,4,1,1,0
3,YTM,2,1,1,1,6,2,2,2,2,1,0
3,KTS,2,1,1,3,1,2,1,4,1,1,0
1,SSPO,2,1,1,1,6,2,1,1,1,1,1
3,CW,2,1,1,3,6,2,2,2,2,1,0
3,KC,2,1,1,1,6,2,1,4,1,1,0
3,CW,2,1,2,3,1,2,2,2,2,1,0
3,KT,2,1,1,1,6,2,1,4,1,2,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,N,2,1,1,3,6,2,5,2,4,1,0
3,WTS,2,1,1,1,6,2,2,2,2,1,0
3,SSPO,2,3,2,3,4,2,4,2,2,1,0
2,N,2,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,3,1,2,1,4,1,3,0
3,WCH,2,1,1,1,6,2,3,2,2,1,0
3,S,2,1,1,1,1,2,1,1,1,1,0
2,SSPO,2,1,2,1,4,2,1,1,1,1,0
2,N,2,1,1,1,6,2,1,1,1,1,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,1,1,2,6,2,2,2,2,1,0
3,YTM,2,1,1,1,6,2,1,4,1,1,0
3,KC,2,1,1,3,6,2,2,2,2,2,0
3,YTM,2,2,2,1,4,2,1,4,1,1,0
3,TP,2,2,1,1,3,2,4,2,2,1,0
2,KT,2,1,1,1,6,2,1,4,1,1,0
2,TP,2,1,1,1,6,2,1,1,1,1,0
3,N,2,1,2,3,6,2,1,1,1,1,0
2,KTS,2,1,1,1,6,2,2,2,2,1,0
3,KC,2,1,1,1,6,2,2,2,2,1,0
3,SK,2,1,1,3,6,2,1,4,1,1,0
3,TM,2,1,1,1,6,2,1,4,1,1,0
2,SSPO,2,1,1,1,6,2,1,1,1,1,0
3,YL,2,1,1,3,6,2,1,4,1,1,0
3,WCH,2,1,1,3,6,2,1,2,2,1,0
3,N,2,1,1,1,6,2,1,4,1,1,0
3,SSPO,2,1,1,1,4,2,1,4,1,1,0
3,ST,2,1,2,1,6,2,1,4,1,1,0
3,YL,2,1,2,1,6,2,2,2,2,2,0
3,ST,2,1,2,1,6,2,1,4,1,1,0
2,YL,2,1,1,1,6,2,1,3,1,1,0
3,CW,2,1,1,1,4,2,1,1,1,1,0
3,I,2,1,1,1,6,2,1,4,1,1,0
3,KT,2,2,1,3,6,2,1,4,1,1,0
3,TP,2,1,2,1,6,2,1,1,1,1,0
3,N,2,1,1,1,6,2,1,4,1,1,0
3,N,1,1,1,1,1,2,1,1,1,1,0
3,KTS,2,1,1,3,3,2,2,2,2,1,0
2,TM,2,1,1,1,6,2,1,1,1,1,0
2,SK,2,1,1,1,6,2,1,4,1,1,0
3,S,2,1,1,1,6,2,1,4,1,1,0
3,SSPO,2,1,1,1,4,2,1,4,1,1,0
3,WTS,2,1,1,1,6,2,1,1,1,1,0
3,KT,2,1,1,3,6,2,3,2,2,2,0
3,WTS,2,1,1,1,3,2,1,1,1,1,0
3,ST,2,1,1,1,6,2,2,2,2,1,0
3,TM,2,1,1,1,6,2,1,1,1,1,0
3,YTM,2,1,1,1,1,2,2,2,2,3,0
2,YL,2,1,1,3,6,2,1,4,1,1,0
2,TP,2,1,1,1,6,2,1,4,1,1,0
3,S,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,1,1,3,3,2,1,1,1,1,0
3,TW,2,1,1,1,6,2,1,4,1,1,0
3,WCH,2,1,1,1,6,2,1,1,1,1,0
2,SSPO,2,1,1,3,6,2,1,1,2,1,0
3,KT,2,1,1,3,3,2,2,2,2,2,0
3,TP,2,1,1,1,6,2,1,4,1,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,TP,2,1,1,3,6,2,1,4,1,1,0
3,YTM,2,1,1,3,6,2,1,1,1,1,0
3,SSPO,2,1,1,1,6,2,1,4,1,1,0
3,KT,2,1,1,3,6,2,2,3,2,1,0
3,KT,2,1,1,1,3,2,3,2,3,1,0
3,KTS,2,1,1,3,6,2,1,4,1,1,0
3,KC,2,1,1,1,4,2,2,2,2,4,0
3,KTS,2,1,1,3,6,2,1,1,1,1,0
3,WCH,2,1,1,1,6,2,1,1,1,1,0
3,WTS,2,1,2,3,6,2,2,2,2,1,0
2,SSPO,2,1,1,1,6,2,1,4,1,1,0
3,N,2,1,1,2,6,2,1,3,1,1,0
3,KT,2,1,1,1,6,2,5,2,3,2,0
3,YL,2,1,1,1,6,2,1,3,1,2,0
3,N,2,1,1,1,1,2,1,3,1,1,0
3,TP,2,1,1,1,6,2,1,1,1,1,0
1,YL,2,1,1,2,6,2,1,1,1,1,1
3,YL,1,1,1,3,6,2,1,1,1,1,0
3,KT,2,1,1,1,4,2,2,2,2,1,0
2,E,2,1,1,3,6,2,1,1,1,1,0
3,KC,2,1,1,3,4,2,2,2,2,1,0
3,KTS,2,1,1,1,6,2,3,2,2,1,0
3,I,2,1,1,1,6,2,2,2,2,1,0
3,TW,2,1,1,3,6,2,2,2,2,1,0
3,TW,2,1,1,3,6,2,5,2,5,2,0
3,YL,2,1,1,1,6,2,4,2,2,1,0
2,N,2,1,1,3,6,2,1,4,1,1,0
3,N,2,1,1,1,6,2,3,2,2,1,0
3,I,2,1,1,1,6,2,1,1,1,1,0
2,TM,2,1,1,1,6,2,4,2,2,1,0
2,YL,2,1,1,3,6,2,1,3,1,2,0
2,YL,2,1,1,3,6,2,1,4,1,1,0
3,CW,2,1,1,1,6,2,5,2,3,2,0
3,E,2,3,2,3,6,2,2,2,2,1,0
3,CW,2,1,1,3,1,2,1,4,1,1,0
3,TP,2,1,1,3,6,2,1,4,1,1,0
3,TP,2,1,1,1,6,2,4,2,2,1,0
3,CW,2,1,1,1,4,2,4,2,2,1,0
2,N,2,1,3,1,6,2,3,4,2,1,0
3,SSPO,2,1,1,1,6,2,3,2,2,1,0
3,TM,2,1,1,1,6,2,2,2,2,1,0
3,CW,2,1,1,3,6,2,4,2,2,1,0
3,S,2,1,1,1,6,2,1,3,1,1,0
3,WCH,2,1,1,1,6,2,2,2,2,2,0
3,YTM,2,1,1,1,4,2,2,2,2,1,0
3,KC,2,1,1,1,1,2,1,1,1,1,0
3,KT,2,1,1,1,6,2,2,2,2,1,0
2,TW,2,1,1,1,6,2,1,1,1,1,0
3,KTS,2,1,2,1,6,2,2,2,2,2,0
3,E,2,1,1,1,4,2,4,2,2,6,0
3,KT,2,1,1,1,6,2,1,4,1,1,0
3,TP,2,2,2,1,4,2,2,2,2,3,0
3,N,2,1,1,1,4,2,1,4,1,1,0
2,TM,2,1,1,1,6,2,2,2,2,1,0
3,KT,2,1,1,1,1,2,1,1,1,1,0
3,SK,2,1,1,3,6,2,1,4,1,1,0
3,KT,2,1,1,1,6,2,1,1,1,1,0
3,ST,2,1,1,1,6,2,2,2,2,1,0
2,ST,2,1,1,1,6,2,3,2,2,1,0
3,E,2,1,1,1,2,2,3,2,2,1,0
